Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
Austin Powers: The Spy Who Shagged Me,1999,Film,Cloning,human,No,Private,NA,low,peripheral,SciMad,mixed,"Action,Adventure,Comedy"
"Baby Formula, The",2008,Film,"Sex, GeneEngHu",human,No,Academic,"IVF, artificial sperm from cells",mid,central,"LGBTQIA, SexGender, Medicine/pos",positive,"Comedy,Fantasy"
Barney Miller (The DNA Story),1979,TV Ep,Chimera/TransGen,microbe,No,Academic,"genetic splicing, recombinant DNA",high,central,"Forensics, SciDedicated",positive,"Comedy,Drama"
Batman & Robin,1997,Film,"GeneDisease, Conservation, Mutation","human,  plant",Yes,Academic,NA,low,peripheral,"Adoption/NonBioParent, Bioethics, Medicine/pos, Mortality, SciMad",mixed,"Action,Sci-Fi"
Batman v Superman: Dawn of Justice,2016,Film,"BioWar/Terror, Chimera/TransGen, GeneEngHu",human,Yes,Private,NA,low,peripheral,"Adoption/NonBioParent, Bioethics, Exploitation, Sacrifice, SciMad",negative,"Action,Adventure,Sci-Fi"
Batman vs. Teenage Mutant Ninja Turtles,2019,Film,Mutation,"human, animal",Mixed,Private,mutagen,low,peripheral,"Monsters, Adoption/NonBioParent, Posthumanism, Prometheus",mixed,"Action,Adventure,Animation"
Bats,1999,Film,"BioWar/Terror, GMOs, Conservation","animal, microbe",Yes,Academic,virus,low,peripheral,"Bioethics, Medicine/pos, Monsters, Prometheus, Sacrifice, SciCold",negative,"Horror,Sci-Fi,Thriller"
Battle for the Planet of the Apes,1973,Film,Mutation,human,No,Accident,NA,low,peripheral,"Autonomy, Childhood, Discrimination, Posthumanism, Race",negative,"Action,Sci-Fi"
Battlestar Galactica (Daybreak),2009,TV Ep,"Conservation, Evolution",human,No,Accident,NA,mid,central,"Religion, Vulnerability, Sacrifice, Interdependence",positive,"Action,Adventure,Drama"
"Beast of Yucca Flats, The",1961,Film,Mutation,human,Yes,Accident,radiation,low,peripheral,Monsters,negative,"Horror,Sci-Fi"
"Bed Sitting Room, The",1969,Film,"BioWar/Terror, WorldHunger, Mutation",human,No,Accident,radiation,low,central,"SexGender, Mortality",negative,"Comedy,Sci-Fi"
Bedtime for Bonzo,1951,Film,"Essentialism, Eugenics",NA,NA,Academic,NA,mid,peripheral,"Adoption/NonBioParent, NatureVNurture, Childhood, SciCold",mixed,"Comedy,Family,Romance"
Ben Casey (August is the Month Before Christmas),1964,TV Ep,"Eugenics, GeneDisease",human,No,NA,NA,mid,peripheral,"Childhood, Disability, SexGender, Genealogy",negative,Drama
Beneath the Planet of the Apes,1970,Film,Mutation,human,Yes,Accident,NA,low,peripheral,"Discrimination, Mortality, Posthumanism, Race, Religion",negative,"Action,Adventure,Sci-Fi"
Beyond the Time Barrier,1960,Film,"GeneDisease, Mutation",human,Mixed,Accident,radiation,low,peripheral,"SexGender, Monsters, Discrimination, Genealogy",mixed,"Romance,Sci-Fi"
"Big Bang Theory, The (Pilot)",2007,TV Ep,"Biobank, Essentialism",human,NA,Medical,NA,low,peripheral,"Exploitation, Interdependence",mixed,"Comedy,Romance"
"Big Bang Theory, The (The Bath Item Gift Hypothesis)",2008,TV Ep,"DataPrivacy, Cloning",human,NA,Private,SCNT,mid,peripheral,Interdependence,positive,"Comedy,Romance"
"Big Bang Theory, The (The Brain Bowl Incubation)",2016,TV Ep,"OrganHarvest, Essentialism",human,No,Academic,cell culture,high,central,"Race, Discrimination, SexGender, NatureVNurture, SciCold",positive,"Comedy,Romance"
"Big Bang Theory, The (The Propagation Proposal)",2019,TV Ep,"Sex, Eugenics",human,NA,Private,NA,mid,central,Adoption/NonBioParent,positive,"Comedy,Romance"
"Bill of Divorcement, A",1932,Film,Eugenics,human,No,Private,NA,low,central,"Genealogy, Disability,Sacrifice",positive,Drama
Biohackers (entire series),2020,TV series,"Biobank, Chimera/TransGen, DataPrivacy, DNAtoID, Essentialism, GMOs, GeneTherapy, BioWar/Terror, GeneDisease, GeneEngHu","human, animal, plant, microbe",No,"Private, Academic",CRISPR,mid,central,"Bioethics, Exploitation, Medicine/pos, Posthumanism, SciCold, Vulnerability",mixed,"Drama,Sci-Fi,Thriller"
Biosphere,2022,Film,"Sex, Conservation, Evolution",human,No,Accident,NA,mid,central,"LGBTQIA, SexGender, Interdependence, Mortality",mixed,"Comedy,Drama,Fantasy"
Black Mask 2: City of Masks,2002,Film,"Chimera/TransGen, BioWar/Terror,GeneEngHu",human,Mixed,Private,NA,low,central,"Childhood, Exploitation, Prometheus, Medicine/pos, Monsters, NatureVNurture, Posthumanism, SciMad",mixed,"Action,Drama,Sci-Fi"
Black Mirror (Men Against Fire),2016,TV Ep,"Eugenics, GeneScreen",NA,NA,Government,NA,low,central,"Autonomy, Bioethics, Discrimination, SciNazi",negative,"Drama,Mystery,Sci-Fi"
Black Sheep,2006,Film,"GMOs, Chimera/TransGen","animal, human",Yes,Private,NA,low,peripheral,"Prometheus, Monsters, Exploitation",negative,"Comedy,Horror,Sci-Fi"
"Black Stork, The",1917,Film,"Eugenics, GeneDisease",human,Yes,Medical,NA,low,central,"Race, Disability, Discrimination, SexGender, Monsters",positive,Drama
"Blacklist, The (Dr. Adrian Shaw Conclusion)",2016,TV Ep,"DNAtoID, GeneEngHu",human,No,Private,CRISPR,low,peripheral,"Adoption/NonBioParent, Mortality",mixed,"Crime,Drama,Mystery"
"Blacklist, The (Dr. Adrian Shaw)",2016,TV Ep,"GeneDisease, DNAtoID, GeneTherapy, DataPrivacy, Biobank, Forensics",human,No,"Medical, Private","DNA seq, CRISPR",mid,central,"Adoption/NonBioParent, Bioethics, Medicine/pos",mixed,"Crime,Drama,Mystery"
"Blacklist, The (Dr. Linus Creel)",2015,TV Ep,"GeneScreen, Essentialism, GeneDisease, DataPrivacy",human,Yes,"Medical, Government",HGP,low,central,"Medicine/neg, Forensics",negative,"Crime,Drama,Mystery"
"Blacklist, The (Guillermo Rizal)",2019,TV Ep,"Cloning, GeneEngHu",human,No,Academic,IVF,mid,central,"Posthumanism, Forensics, Medicine/neg, SciMad, Adoption/NonBioParents",negative,"Crime,Drama,Mystery"
"Blacklist, The (Milton Bobbit)",2014,TV Ep,"DNAtoID, Forensics",NA,NA,Government,"touch (trace) DNA, sequencing",high,peripheral,"Sacrifice, Forensics, Mortality, Medicine/neg",positive,"Crime,Drama,Mystery"
"Blacklist, The (Mr. Kaplan: Conclusion)",2017,TV Ep,"DataPrivacy, DNAtoID",NA,NA,Government,NA,mid,peripheral,"Genealogy, Forensics",positive,"Crime,Drama,Mystery"
"Blacklist, The (The Alchemist)",2014,TV Ep,"Biobank, DNAtoID, Forensics, DataPrivacy",human,No,Private,synthetic DNA,low,central,"Forensics, SexGender",mixed,"Crime,Drama,Mystery"
"Blacklist, The (The Endling)",2017,TV Ep,"Conservation, DNAtoID, Biobank, Forensics","plant, animal, human",No,Private,NA,mid,central,"Forensics, SexGender",mixed,"Crime,Drama,Mystery"
"Blacklist, The (The Liquidist Concern)",2016,TV Ep,DNAtoID,NA,NA,Private,paternity test,mid,peripheral,"Genealogy, Forensics",mixed,"Crime,Drama,Mystery"
"Blacklist, The (The Longevity Initiative)",2015,TV Ep,"Chimera/TransGen, GeneEngHu, GMOs","human, animal",No,Corporation,transgenic,low,peripheral,"Mortality, Medicine/neg, Bioethics, SciCold, Disability",negative,"Crime,Drama,Mystery"
"Blacklist, The (The Man in the Hat)",2023,TV Ep,"DNAtoID, DataPrivacy",NA,NA,Private,DNA seq,mid,peripheral,"Adoption/NonBioParent, Childhood",mixed,"Crime,Drama,Mystery"
"Blacklist, The (The Morgana Logistics Corporation)",2023,TV Ep,DNAtoID,NA,NA,Government,DNA seq,low,peripheral,Forensics,positive,"Crime,Drama,Mystery"
"Blacklist, The (The Pharmacist)",2019,TV Ep,"GeneDisease, GeneEngHu, GeneTherapy",human,No,Private,"CRISPR, viral vector",mid,central,"Bioethics, Disability, Forensics, Medicine/pos",positive,"Crime,Drama,Mystery"
"Blacklist, The (The Thrushes)",2016,TV Ep,DNAtoID,NA,NA,Private,NA,mid,peripheral,"Genealogy, Forensics",mixed,"Crime,Drama,Mystery"
Blade II,2002,Film,"Mutation, GeneEngHu, BioWar/Terror",human,Yes,Private,NA,low,peripheral,"Posthumanism, Vulnerability, Monsters",negative,"Action,Horror,Sci-Fi"
Blade Runner,1982,Film,"Biobank, BioWar/Terror, Chimera/TransGen, DataPrivacy, Essentialism, Forensics, GeneDisease, GeneEngHu, GMOs","human, animal",Mixed,Corporation,NA,low,central,"Bioethics, Childhood, Exploitation, Forensics, Prometheus, Individualism, Mortality, NatureVNurture, Posthumanism, SciCold",negative,"Action,Drama,Sci-Fi"
Blade Runner 2049,2017,Film,"Biobank, Cloning, DNAtoID,GeneEngHu, Forensics",human,Mixed,Corporation,NA,low,central,"Autonomy, Childhood, Exploitation, Forensics, Galatea, SexGender, Individualism, Mortality, Posthumanism, SciMad",mixed,"Action,Drama,Mystery"
Blake's 7 (Animals),1981,TV Ep,"Chimera, GeneEngHu","animal, human",Yes,"Government, Private",radiation,low,peripheral,"Posthumanism, Prometheus",negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (Children of Auron),1980,TV Ep,"Cloning, DataPrivacy",human,Yes,Government,NA,low,central,Medicine/pos,negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (Duel),1978,TV Ep,GeneEngHu,human,Yes,Government,NA,low,peripheral,"Posthumanism, Individualism",negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (The Harvest of Kairos),1980,TV Ep,GeneEngHu,human,Yes,Government,NA,low,peripheral,Exploitation,negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (The Web),1978,TV Ep,"Conservation, GeneEngHu, BioWar/Terror",plant,Yes,Government,radiation,low,peripheral,"Autonomy, Mortality, Discrimination, SciCold",negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (Time Squad),1978,TV Ep,"BioWar/Terror, Biobank, GeneEngHu, Conservation",human,Yes,Government,NA,low,peripheral,"Mortality, Race",negative,"Adventure,Drama,Sci-Fi"
Blake's 7 (Weapon),1979,TV Ep,"Cloning, DataPrivacy",human,Yes,Government,NA,low,peripheral,Exploitation,negative,"Adventure,Drama,Sci-Fi"
Bleeding Steel,2017,Film,GeneEngHu,human,Mixed,Private,NA,low,peripheral,"Monsters, Mortality, Posthumanism, SciMad",mixed,"Action,Sci-Fi,Thriller"
Blindspot (Ohana),2019,TV Ep,"BioWar/Terror, GMOs",animal,Yes,Corporation,CRISPR,mid,peripheral,Forensics,negative,"Action,Crime,Drama"
Blood Beast from Outerspace,1965,Film,"Mutation, Eugenics",human,Yes,Accident,radiation,low,peripheral,"Monsters, SexGender",negative,"Horror,Sci-Fi"
Blue Bloods (Erasing History),2018,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,mid,peripheral,Forensics,positive,"Crime,Drama,Mystery"
Blue Bloods (Family Secrets),2020,TV Ep,"DNAtoID, Biobank, Essentialism",human,NA,Corporation,direct to consumer testing,low,central,"Genealogy, Forensics, Adoption/NonBioParent",mixed,"Crime,Drama,Mystery"
Blue Bloods (Identity),2019,TV Ep,"Forensics, DNAtoID, Biobank",NA,NA,Government,NA,mid,peripheral,"Forensics, Sacrifice, Interdependence",mixed,"Crime,Drama,Mystery"
Blue Bloods (Innocence),2011,TV Ep,"Forensics, DNAtoID, Biobank",NA,NA,Government,NA,mid,central,Forensics,positive,"Crime,Drama,Mystery"
Blue Bloods (Quid Pro Quo),2013,TV Ep,"Forensics, DNAtoID, DataPrivacy",NA,NA,Government,NA,low,peripheral,"Forensics, Race, Discrimination",positive,"Crime,Drama,Mystery"
Blue Bloods (Re-Do),2010,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,high,peripheral,"SexGender, Forensics, Vulnerability",mixed,"Crime,Drama,Mystery"
Blue Bloods (The Greater Good),2016,TV Ep,DNAtoID,human,NA,Government,NA,mid,peripheral,"Forensics, Vulnerability",positive,"Crime,Drama,Mystery"
Blue Bloods (The Real Deal),2019,TV Ep,"Forensics, DNAtoID, Biobank, DataPrivacy",NA,NA,"Government, Private",NA,mid,peripheral,"Forensics, Sacrifice, Interdependence",mixed,"Crime,Drama,Mystery"
Blue Bloods (Thicker than Water),2018,TV Ep,"DNAtoID, DataPrivacy, Sex",human,NA,Corporation,"direct to consumer testing,  IVF, dr using own sperm",low,central,"SexGender, Medicine/neg, Adoption/NonBioParent, Forensics",mixed,"Crime,Drama,Mystery"
Blue Bloods (Through the Looking Glass),2015,TV Ep,"Forensics, DNAtoID, Biobank",NA,NA,Government,NA,mid,peripheral,"Forensics, Childhood",positive,"Crime,Drama,Mystery"
Blueprint,2003,Film,"GeneDisease, Cloning",human,No,Academic,NA,low,central,"Individualism, Childhood, SciDedicated, Mortality, Bioethics",mixed,"Drama,Sci-Fi"
Body of Proof (Dead Man Walking),2011,TV Ep,"GeneScreen, GeneDisease","microbe, human",No,Government,PCR,mid,peripheral,"Forensics, Medicine/neg",mixed,"Comedy,Crime,Drama"
Body of Proof (Disappearing Act),2013,TV Ep,"DNAtoID, Forensics",human,NA,Government,NA,mid,peripheral,"Forensics, Medicine/neg",mixed,"Comedy,Crime,Drama"
Body of Proof (Hunting Party),2011,TV Ep,"DataPrivacy, Forensics, DNAtoID",human,NA,Government,paternity test,mid,peripheral,"Adoption/NonBioParent, Forensics, SexGender, SciDedicated",positive,"Comedy,Crime,Drama"
"Bold Ones: The New Doctors, The (And Those Unborn)",1969,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,"amniocentesis, assisted reproduction",high,central,"SexGender, Vulnerability, Disability, Mortality, Medicine/pos",positive,Drama
"Bold Ones: The New Doctors, The (Discovery at Fourteen)",1972,TV Ep,Essentialism,human,No,NA,NA,low,peripheral,"Childhood, LGBTQIA, NatureVNurture",mixed,Drama
"Bold Ones: The New Doctors, The (If I Can't Sing, I'll Listen)",1969,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Medicine/pos, Mortality",negative,Drama
"Bold Ones: The New Doctors, The (In Dreams They Run)",1970,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Disability, Medicine/pos, Genealogy, Vulnerability",negative,Drama
"Bold Ones: The New Doctors, The (One Lonely Step)",1971,TV Ep,"GeneDisease, GeneTherapy",human,No,Medical,NA,high,peripheral,"Childhood, Medicine/pos, Race",mixed,Drama
"Bold Ones: The New Doctors, The (The Velvet Prison)",1972,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Vulnerability",negative,Drama
"Bold Type, The (Plan B)",2018,TV Ep,"GeneDisease, GeneScreen, Sex",human,No,Medical,NA,high,central,"Childhood, SexGender, Medicine/pos, Race, LGBTQIA",mixed,"Comedy,Drama"
"Bold Type, The (The Breast Issue)",2017,TV Ep,"GeneScreen, GeneDisease",human,NA,Medical,NA,high,central,"Childhood, SexGender",mixed,"Comedy,Drama"
Bones (A Boy in a Bush),2006,TV Ep,"GeneScreen, GeneDisease, Essentialism",human,No,Medical,NA,mid,peripheral,"Adoption/NonBioParent, Childhood, SciDedicated, Forensics",mixed,"Crime,Drama,Mystery"
Bones (Stargazer in a Puddle),2007,TV Ep,"GeneDisease, DNAtoID, Forensics, DataPrivacy, Biobank",human,No,Government,NA,mid,peripheral,"Childhood, Forensics, Sacrifice, Mortality",mixed,"Crime,Drama,Mystery"
Bones (The Archaeologist in the Cocoon),2013,TV Ep,"Forensics, DNAtoID, Evolution",human,NA,Government,NA,low,peripheral,"Forensics, Race, Discrimination",positive,"Crime,Drama,Mystery"
Bones (The Blackout in the Blizzard),2011,TV Ep,GeneScreen,NA,NA,Medical,NA,high,central,"Disability, Forensics",mixed,"Crime,Drama,Mystery"
Bones (The Boneless Bride in the River),2007,TV Ep,"GeneDisease, DNAtoID",human,No,Government,NA,mid,peripheral,"Forensics, Mortality",mixed,"Crime,Drama,Mystery"
Bones (The Boy with the Answer),2010,TV Ep,"Forensics, DNAtoID",NA,NA,Government,DNA seq,mid,peripheral,"Forensics, Vulnerability",positive,"Crime,Drama,Mystery"
Bones (The Doll in the Derby),2013,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,Forensics,negative,"Crime,Drama,Mystery"
Bones (The Dude in the Dam),2013,TV Ep,"GeneDisease, Biobank, DNAtoID, Forensics, Eugenics",human,No,"Corporation, Government",IVF,mid,central,"Mortality, Forensics, SexGender, Adoption/NonBioParent",mixed,"Crime,Drama,Mystery"
